customer_id,name,dob,ssn_hash,risk_rating,kyc_status,country,created_at,created_by
CUST000017,Aditya Zhang,1990-10-18,680e6f2b431b,high,verified,GB,2025-07-14 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000018,Ava Sharma,2004-09-10,1455ae117fc3,,verified,RU,2020-07-31 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000019,Rahul Brown,2001-02-15,8a7ede4313be,low,pending,US,2020-09-01 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000020,Wei Mehta,1991-07-09,1e36f9589498,low,verified,CA,2020-02-19 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000021,Sneha Khan,1963-10-30,b85e2ff1a57a,medium,verified,AU,2018-09-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000022,Arjun Davis,1979-12-28,e241baad3b23,low,verified,CN,2023-03-10 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000023,Layla Sharma,1976-03-16,910e077ba92e,medium,pending,US,2019-11-13 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000024,Aarav Miller,1995-10-27,30ce3605ebdb,medium,expired,GB,2021-03-14 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000025,Sneha Martinez,1960-06-20,89224174a878,low,verified,NG,2026-05-22 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000026,Sneha Wilson,1971-09-03,e6b7031c028c,medium,verified,US,2018-10-08 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000027,Riya Martinez,1958-07-26,70f513f5a30d,low,pending,RU,2024-12-11 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000028,Noah Mehta,1990-07-05,7785013faa23,high,verified,GB,2019-06-21 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000028,Noah Mehta,1990-07-05,7785013faa23,high,verified,GB,2019-06-21 01:20:00,CUSTOMER_ONBOARDING_SVC
CUST000029,Elena Kumar,2003-03-27,a63b1500b061,medium,verified,US,2020-05-23 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000030,Liam Reddy,2003-09-26,9e1ed4b4b249,low,expired,CA,2025-11-21 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000031,Hassan Johnson,1964-04-17,4163d357d438,low,verified,AU,2019-07-05 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000032,Pooja Zhang,1973-04-07,bdcced9fb7d3,high,verified,SG,2025-09-16 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000033,Amelia Smith,1955-04-27,cc930851b15f,low,verified,IN,2021-09-28 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000034,Divya Singh,2003-12-12,a448ab255cf7,low,expired,CN,2018-05-28 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000035,Rahul Garcia,1977-05-21,662d6ef97f46,low,verified,AE,2025-06-24 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000036,Meera Mehta,1970-11-19,fe8d9a4e74bc,low,verified,CN,2022-08-16 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000037,Riya Smith,1964-09-12,f75c211653ba,low,pending,CN,2022-04-16 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000038,Nikhil Mehta,1972-04-29,5a9290da27a7,low,verified,IN,2022-06-21 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000039,Mia Khan,1984-09-16,fe2c31d5ab14,low,verified,NG,2018-04-24 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000040,Amelia Garcia,1994-02-24,a54e355b75dd,medium,verified,SG,2024-10-19 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000041,Aarav Wilson,1972-09-04,6a3f05545748,medium,verified,NG,2022-01-31 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000042,Divya Ivanov,2000-06-30,c882554cc39d,high,pending,GB,2021-06-20 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000043,Lucas Khan,1981-12-31,48ca6f2cbf3d,medium,verified,CN,2022-07-22 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000044,Noah Chen,1994-09-01,27608252de42,low,expired,CA,2025-07-30 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000045,Ananya Johnson,1985-01-26,1a03aa4fcf3e,low,verified,NG,2019-01-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000046,Wei Lopez,1995-11-10,a3f70f1a7428,high,expired,US,2022-08-25 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000047,Aarav Kumar,1974-08-19,587b3604d5ad,high,expired,DE,2019-12-22 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000048,Arjun Chen,2002-08-26,fc2376eddeec,medium,verified,AU,2024-04-08 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000049,Fatima Davis,1995-01-02,f84ad6bd566e,high,pending,NG,2019-10-14 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000050,Omar Tanaka,1976-06-18,2a8757a0e9c4,medium,verified,AU,2021-01-29 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000051,Ananya Gupta,1975-09-30,18930eeba85f,high,verified,CN,2022-04-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000052,Mason Patel,1992-09-10,e9231be65d53,medium,verified,AE,2022-05-15 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000052,Mason Patel,1992-09-10,e9231be65d53,medium,verified,AE,2022-05-15 00:46:00,CUSTOMER_ONBOARDING_SVC
CUST000053,Olivia Miller,2003-04-15,e5a3c744ae6b,high,expired,DE,2026-05-20 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000054,Yuki Sharma,1985-02-26,c6b717b2f690,high,pending,DE,2025-07-02 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000055,Layla Sharma,2005-08-19,3c9ced153b74,low,verified,DE,2025-06-08 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000056,Lucas Brown,1995-10-17,7670780a8b94,low,pending,AE,2021-08-31 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000057,Wei Sharma,1959-09-03,efa031b8d4d9,low,verified,NG,2021-12-04 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000058,Aditya Sharma,1968-09-02,0b54f7bc6c46,low,pending,RU,2020-09-04 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000059,Sophia Reddy,1965-04-11,ed77c5ec5a0a,low,verified,RU,2019-11-02 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000060,Lucas Miller,1961-10-26,6f3b1315c67b,high,verified,AE,2024-08-22 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000061,Divya Martinez,1986-02-24,59103a9b1561,medium,verified,IN,2023-12-23 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000062,Yuki Kumar,1987-06-30,81027d64124e,medium,verified,DE,2025-02-16 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000063,Layla Tanaka,1994-01-28,3c85739d1b2a,medium,verified,CA,2026-03-14 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000064,Diego Mehta,1988-12-31,cf07d88d1077,low,pending,CA,2021-10-09 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000065,Ava Smith,1979-10-14,3021e7484efa,low,expired,RU,2024-03-26 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000066,Riya Zhang,1999-01-13,b666bb558ee3,low,verified,CA,2023-01-10 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000067,Sophia Tanaka,2002-08-19,9256f18675ef,medium,expired,NG,2021-11-09 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000068,Divya Ivanov,1983-04-23,e7e8bcdb1d47,high,expired,AE,2019-05-05 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000069,Emma Ivanov,2002-01-25,dc8ba3f3633e,low,verified,RU,2024-09-10 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000070,Layla Gupta,1959-01-31,e08c55fdc6b8,medium,verified,GB,2018-08-12 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000071,Aarav Martinez,1997-02-10,ed86a1f09be8,medium,verified,GB,2023-05-15 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000072,Vikram Miller,1961-08-24,f74b98cfff2c,high,verified,CA,2024-06-21 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000073,Riya Kumar,1992-05-03,fa2b59d68996,medium,expired,NG,2024-10-19 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000074,Ivan Davis,1960-05-27,5b928b0a288a,high,verified,GB,2024-11-02 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000075,Rohan Mehta,2004-07-09,f1011e1a3056,low,verified,CN,2018-11-04 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000076,Liam Zhang,1995-09-25,e33a3ca70ad6,high,verified,GB,2018-10-19 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000077,Aditya Davis,2003-11-09,2dcd7e4c6431,high,verified,US,2020-07-09 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000078,Olivia Lopez,1980-11-22,5338d8ef1113,low,pending,RU,2022-12-04 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000079,Yuki Chen,1958-07-30,c5a6bb848400,high,verified,US,2022-11-05 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000080,Elena Martinez,1979-03-07,ededefaa6bec,low,verified,IN,2024-06-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000081,Ivan Davis,1999-02-11,fdeebdb187ab,medium,verified,AU,2019-01-09 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000082,Mason Zhang,1980-11-09,8a745793ed74,medium,expired,CA,2025-06-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000083,Mia Wilson,2003-09-05,3d2aa7cc6033,medium,verified,IN,2023-03-08 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000084,Sneha Nair,2004-04-09,ed1959509b72,low,pending,GB,2019-06-21 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000085,Riya Zhang,1982-11-17,f8cc09adfa2b,low,expired,CN,2024-03-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000086,Divya Al-Sayed,1999-09-17,1279fd8f523f,low,expired,CN,2026-01-14 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000087,Lucia Anderson,1989-05-31,a73ada23fabe,medium,expired,CN,2020-02-20 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000088,Mason Brown,1978-12-20,d861f9ece5fb,low,verified,NG,2018-01-11 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000089,Diego Anderson,1985-12-18,e53aa9493641,medium,expired,CA,2021-09-23 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000090,Riya Martinez,1975-12-15,ad2974605b3b,low,verified,DE,2022-08-10 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000091,Meera Tanaka,1966-04-29,6385feb88390,medium,verified,IN,2023-08-20 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000092,Lucia Sharma,1991-10-13,00478ae61741,low,verified,CN,2025-05-05 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000093,Ananya Brown,2002-11-15,b150bd5cd3d8,low,pending,AU,2022-04-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000094,Liam Mehta,1993-12-07,8dc7e72c5ac5,high,verified,US,2019-02-08 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000095,Sneha Johnson,1988-08-17,6bd6d7c5d65a,low,verified,SG,2022-10-31 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000096,Ananya Lopez,1976-08-09,e8dea931cd67,medium,verified,DE,2023-08-01 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000097,Lucia Johnson,2004-01-14,c49b689b4a08,low,pending,AU,2019-10-10 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000098,James Chen,1972-11-14,04139a6cdd8c,medium,verified,GB,2022-04-25 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000099,Liam Sharma,1990-07-05,9015bb549f20,low,expired,AU,2021-01-29 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000100,Yuki Johnson,1986-08-10,6a9f44e62d13,high,verified,AE,2020-06-16 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000101,Arjun Al-Sayed,1958-07-15,fc712d4cf7e0,medium,verified,US,2021-06-19 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000102,Mason Reddy,1966-11-09,d8f3ce351170,low,expired,AE,2024-01-19 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000103,Wei Johnson,1965-05-01,e9c5eb604498,low,verified,SG,2023-04-03 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000104,Mia Anderson,1963-02-07,9906dc0a45e3,low,verified,SG,2022-06-05 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000105,Ivan Miller,1988-04-29,f55e1d7c4841,high,verified,AU,2019-03-20 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000106,Mei Mehta,1960-09-02,eff2eb6f482b,medium,verified,AU,2025-02-15 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000107,Yuki Kumar,1976-01-24,a365137afe5d,low,pending,US,2024-01-11 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000108,Mason Martinez,1992-03-21,a9052c19742f,low,pending,CN,2025-05-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000109,Pooja Chen,1976-03-07,89b15a37b882,low,verified,CA,2022-01-25 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000110,Aditya Kumar,1963-03-23,97d567152b1d,low,expired,CA,2025-06-07 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000111,Elena Nair,2004-09-20,2fc9b40e0855,medium,verified,US,2020-04-28 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000112,Chen Sharma,1967-12-25,e3004b7f63ca,medium,verified,GB,2019-06-17 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000113,Ethan Mehta,1984-01-18,476f29aefcf4,low,verified,RU,2018-03-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000114,Wei Chen,2001-01-16,f3d744dab38d,low,pending,SG,2024-08-28 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000115,Omar Johnson,1957-10-17,93f0d3d3f790,medium,pending,CA,2018-09-07 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000116,Ananya Brown,1968-04-22,e8ead772eef1,low,verified,RU,2018-09-27 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000117,Chen Wilson,1995-09-15,fc7c1e1013d5,medium,pending,GB,2023-09-02 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000118,Hassan Ivanov,1993-08-01,6ed1ce30175f,low,pending,AE,2023-01-24 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000119,Amelia Brown,1977-11-13,91bfa6589ad3,low,pending,AU,2022-03-14 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000120,Sophia Gupta,1960-05-19,acbd35965170,medium,expired,NG,2024-07-30 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000121,Amelia Ivanov,1980-10-21,135ea6cedd7d,low,verified,IN,2024-09-25 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000122,Karan Garcia,1987-12-23,6f7c36a9e729,low,expired,NG,2019-04-16 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000123,Mei Lopez,2004-12-12,571bb436e91f,,verified,AU,2018-04-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000124,Ethan Sharma,1967-11-08,f2bb8fd722ad,high,pending,CN,2024-05-08 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000125,Omar Nair,1992-08-31,501e68ae8ae3,low,verified,DE,2023-02-02 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000126,Ananya Patel,1969-02-14,a58a0eb674ce,medium,verified,CN,2026-06-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000127,Diego Davis,1974-05-04,80a80153dd9b,medium,verified,GB,2026-06-20 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000128,Omar Khan,1959-01-28,b816390ef9e4,medium,expired,GB,2020-06-22 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000129,James Johnson,1965-10-06,0f685eaacabc,medium,pending,SG,2018-02-01 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000130,Ethan Singh,1958-10-18,bcc82b914526,low,pending,DE,2022-11-22 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000131,Mason Johnson,1991-05-04,871ec0bd058d,low,verified,US,2018-03-27 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000132,Ananya Davis,1976-10-29,8351cf028f4c,medium,pending,US,2022-11-20 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000133,Ava Reddy,2000-10-18,ea57c4241a6b,low,expired,US,2025-02-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000134,Meera Mehta,1968-02-20,389f3477b075,low,verified,US,2020-11-14 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000135,Yuki Chen,1995-04-10,3f11191c7864,medium,expired,RU,2025-08-21 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000136,Wei Chen,1982-03-02,200e5d8e882d,medium,verified,AU,2021-01-30 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000137,Sophia Johnson,1963-02-06,569310e77810,medium,expired,US,2024-11-24 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000138,Rahul Chen,1971-11-21,55def9ac8b62,medium,pending,RU,2021-08-09 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000139,Ava Zhang,2000-04-07,544932324699,low,verified,US,2025-03-31 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000140,Rohan Garcia,1980-05-18,8257b4718653,medium,verified,SG,2022-05-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000141,Ava Kumar,1989-09-05,4767e54b642a,low,expired,NG,2021-03-09 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000142,Ethan Johnson,1990-03-01,fd20d9310f79,medium,verified,AU,2019-06-13 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000143,Omar Singh,1992-12-26,91438d502fcc,low,verified,AU,2023-09-14 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000144,Yuki Nair,1967-05-05,2ecd725c2e45,low,verified,AE,2019-09-27 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000145,Omar Patel,1985-03-19,39551f4275da,low,expired,AU,2024-12-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000146,Rohan Ivanov,1958-12-02,1acaadbc8fe0,low,verified,CA,2022-08-10 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000147,Nikhil Anderson,1982-10-06,154686c7aa93,low,verified,AE,2023-04-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000148,Lucas Wilson,1992-07-23,2878471fd758,low,expired,NG,2019-10-26 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000149,Hassan Kumar,1966-03-09,da7df13b130a,low,verified,NG,2021-03-13 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000150,Nikhil Chen,1957-05-23,d7fb5e458505,low,pending,SG,2022-08-27 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000151,Priya Brown,1985-01-29,6c7384cc4cff,low,verified,US,2019-08-22 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000152,Wei Chen,1955-06-22,d14c1ac74c78,low,verified,RU,2018-11-21 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000153,Amelia Kumar,1976-04-26,68215e677c89,low,verified,GB,2021-05-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000154,Yuki Lopez,1956-06-22,d71f23f675f7,medium,expired,NG,2025-02-01 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000155,Riya Martinez,1971-10-21,2d8f7da9e4c8,high,verified,DE,2025-06-14 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000156,Fatima Anderson,1990-01-11,7f390c1a7a31,low,pending,IN,2023-04-10 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000157,Ethan Mehta,1964-04-19,ce28e0f06da4,high,verified,AU,2024-07-11 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000158,Lucia Zhang,1971-05-09,4659c645cb6a,low,pending,CA,2019-07-07 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000159,Noah Johnson,1990-09-23,a23b1f44719a,medium,verified,NG,2024-02-03 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000160,Sneha Al-Sayed,1979-07-06,fcc144d62ef6,low,pending,SG,2019-05-25 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000161,Isha Tanaka,1987-12-16,42bff8cd7908,low,verified,CA,2023-10-28 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000162,Layla Johnson,1964-03-15,067c7c418734,low,verified,SG,2018-11-24 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000163,Ethan Chen,1986-08-18,cc6e18cf6ecb,medium,verified,IN,2024-11-23 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000164,Mia Garcia,1969-05-09,1ba2b0ba2ed7,low,expired,NG,2018-05-08 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000165,Sophia Garcia,2005-11-21,fe5864f9af58,medium,verified,DE,2018-05-13 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000166,Elena Gupta,1987-12-03,fcdfddb221f6,low,verified,NG,2022-06-19 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000167,Lucas Anderson,1978-06-26,aeb7f4ab45d1,high,pending,US,2020-12-02 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000168,Aditya Kumar,1961-08-23,df43898e2520,low,pending,CN,2023-01-26 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000169,Ethan Zhang,2004-05-05,1bd051c90841,low,verified,US,2024-01-30 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000170,Sophia Wilson,1965-11-20,ba364afb660c,low,verified,AE,2020-04-03 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000171,Hassan Gupta,1962-09-26,9fe51e082dcf,low,pending,RU,2018-09-27 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000172,Elena Singh,1983-06-11,a82c45dd217b,low,pending,CN,2025-03-16 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000173,Hassan Al-Sayed,1971-04-29,58dd8b345745,medium,expired,RU,2019-06-13 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000174,Rohan Reddy,1975-03-25,57a2aa6aa744,medium,verified,SG,2021-11-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000175,Arjun Al-Sayed,2002-11-11,a1ee601445f0,medium,verified,GB,2019-01-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000176,Chen Brown,1958-09-11,bfbcb6c76079,low,verified,RU,2018-04-27 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000177,Elena Davis,1957-09-19,7394ed442420,high,expired,RU,2023-08-02 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000178,Mia Johnson,1961-07-19,059f6d4c7ae8,low,verified,CA,2025-09-21 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000179,Noah Zhang,1985-12-26,987663d69ece,low,verified,SG,2022-06-22 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000180,Diego Mehta,1963-09-08,077406f779ac,low,pending,CN,2018-07-27 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000181,Noah Martinez,1972-01-12,343100003a3d,medium,expired,SG,2019-10-15 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000182,Mia Wilson,1976-08-06,1daa3697d282,medium,verified,CA,2020-05-31 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000183,Wei Johnson,1955-09-25,720bc45af28f,medium,verified,NG,2019-03-17 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000184,Mia Patel,2005-05-27,dc474368c5b0,low,expired,RU,2020-03-08 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000185,Mei Khan,1965-08-29,87e65e8f19c4,low,pending,RU,2019-06-12 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000186,Meera Nair,2000-09-03,1a731baa5b39,medium,verified,RU,2022-07-03 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000187,Lucia Gupta,2001-04-01,b9a27b5c8622,low,expired,RU,2019-07-27 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000188,Ivan Brown,2000-09-23,d86c30327d5d,medium,expired,NG,2023-12-21 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000189,Mason Martinez,1957-05-23,d0d2011cb3ac,medium,verified,GB,2024-09-10 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000190,Sneha Martinez,1970-04-19,f49bbc21c600,high,expired,CA,2023-11-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000191,Elena Zhang,1972-02-12,ed99458b6f60,medium,verified,US,2018-03-19 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000192,Mei Tanaka,1967-05-22,1223764faf42,low,expired,IN,2023-10-26 00:00:00,CUSTOMER_ONBOARDING_SVC
